Date,apple_sent,tesla_sent,msft_sent,amzn_sent,nvda_sent
2020-09-29,0.0,0.9127,0.0,0.0,0.0
2021-01-28,-0.2899666666666667,0.12857894736842104,-0.9983,-0.0008142857142857198,0.0
2021-01-29,-0.019098437500000006,0.1912442953020134,0.25698000000000004,-0.3047221088435374,0.2668333333333333
2021-01-30,0.4829333333333333,0.5635533333333334,0.37325,0.14675675675675673,0.9998
2021-01-31,0.2580769230769231,0.29829459459459456,0.3849222222222222,0.18997692307692304,0.013000000000000012
2021-02-01,0.4236909090909091,0.48043600000000003,0.5784800000000001,0.6638941176470589,0.0
2021-02-02,0.42638750000000003,0.24572592592592593,0.8821833333333334,0.19303076923076926,0.24090000000000003
2021-02-03,0.46815999999999997,0.2781272727272727,0.9929714285714287,0.449015,0.9329
2021-02-04,0.4182928571428572,0.09402692307692308,0.5504222222222223,0.19146666666666667,0.9693666666666667
2021-02-05,0.3372909090909091,0.32821500000000003,0.4462529411764706,0.41323902439024385,-0.3612
2021-02-06,0.08711904761904764,0.3610589285714286,0.55885,0.23853589743589737,0.6997375
2021-02-07,0.4907,0.5399892857142857,0.843075,0.4199352941176471,0.8041
2021-02-08,0.20854285714285717,0.5583416666666666,0.9609666666666666,0.4519222222222223,0.007799999999999974
2021-02-09,0.8144000000000001,0.59755,0.9017,0.9476875,0.2749
2021-02-10,0.5416,0.7158375,0.95905,0.6345785714285714,0.9674333333333333
2021-02-11,0.981475,0.53455625,0.9935999999999999,0.7712222222222223,-0.8426
2021-02-12,0.6739,0.24758000000000005,0.6879428571428571,0.42762857142857147,0.26646
2021-02-13,0.991025,0.3435894736842105,0.9876166666666667,0.65480625,0.9564499999999999
2021-02-14,0.9634000000000001,0.8512055555555555,0.6780833333333334,0.9317875,0.9514
2021-02-15,0.8571,0.7692928571428572,0.61545,0.9457888888888889,0.9851
2021-02-16,0.0,0.40628333333333333,0.9999,0.7900714285714286,0.87825
2021-02-17,0.958625,0.5804285714285715,0.9189,0.6987,0.6299
2021-02-18,0.5555714285714285,0.49155333333333323,0.9924,0.4809571428571428,0.9875
2021-02-19,0.6589333333333333,0.01867,0.9916,0.39869166666666667,0.8256
2021-02-20,0.6807142857142858,0.5336375,0.98915,0.8466833333333335,0.9608666666666666
2021-02-21,0.6230166666666667,0.4739583333333333,0.9839,0.6883428571428573,0.98905
2021-02-22,0.9778,0.16343000000000002,0.0,0.59312,0.5927
2021-02-23,0.7208555555555556,0.5456375,0.9993,0.672875,0.74805
