Date,tech_sector,ev_sector,finance_sector,meme_sector
2020-09-29,0.9127,0.9127,0.0,0.0
2021-01-28,0.0864612582781457,0.04172147435897436,-0.09752656250000001,0.03541230283911673
2021-01-29,0.0027780196838651937,-0.01334163568773234,-0.06852822274881518,0.005849561968564801
2021-01-30,0.2514455066921606,0.2636059040590406,0.20419831932773108,0.19937852112676058
2021-01-31,0.23512058823529414,0.23345631067961164,0.20345441696113076,0.20662840722495895
2021-02-01,0.3274285714285714,0.31163365695792883,0.3723296116504855,0.21726521739130436
2021-02-02,0.21446009852216746,0.1980441624365482,0.1276030701754386,0.13884633093525178
2021-02-03,0.24142121212121215,0.2033371087928465,0.23967055214723926,0.14891546304163128
2021-02-04,0.25898183520599244,0.19252360360360363,0.23792310344827589,0.19128453947368423
2021-02-05,0.18698316722037653,0.1936237890204521,0.18577594142259413,0.15857278185456972
2021-02-06,0.1734231515151515,0.2026721488595438,0.12648401937046003,0.14604088575096277
2021-02-07,0.4336050209205021,0.42512173913043483,0.37299722222222226,0.29660278637770904
2021-02-08,0.3453201492537314,0.3284865546218488,0.30488688524590163,0.27534764705882353
2021-02-09,0.49981086956521736,0.4877146067415731,0.49884255319148935,0.3950807692307693
2021-02-10,0.4157288888888889,0.391168345323741,0.3740171052631579,0.3872476510067114
2021-02-11,0.6544519607843138,0.6392140000000001,0.5446086956521741,0.5440784946236559
2021-02-12,0.47376393442622955,0.38453358778625957,0.5118,0.4164972222222222
2021-02-13,0.4139639639639639,0.3898225,0.47007142857142853,0.323872
2021-02-14,0.5611597938144329,0.5849305263157893,0.4959800000000001,0.5347235294117647
2021-02-15,0.8028808510638298,0.7287659090909091,0.6691038461538461,0.7392711111111112
2021-02-16,0.5796132352941177,0.5763737704918034,0.635267741935484,0.5700127272727272
2021-02-17,0.41064905660377354,0.5707602564102564,0.435975,0.479436231884058
2021-02-18,0.46382989690721643,0.5960451219512195,0.5350599999999999,0.40376213592233007
2021-02-19,0.3603412587412587,0.31321239669421486,0.29829285714285714,0.2606203007518797
2021-02-20,0.464681308411215,0.45787816091954014,0.43809230769230767,0.3181652173913043
2021-02-21,0.5571352941176472,0.5960921875,0.6193676470588236,0.37304605263157903
2021-02-22,0.35992833333333335,0.42373600000000006,0.3485923076923077,0.32867727272727276
2021-02-23,0.434188,0.3812698924731182,0.37585500000000005,0.31530504201680676
2021-02-24,0.47323777777777776,0.460224705882353,0.3978636363636364,0.2950350515463917
2021-02-25,0.38468913043478253,0.37690530303030295,0.4644875,0.28391620111731847
2021-02-26,0.3854519774011299,0.41922576687116564,0.486723076923077,0.30710427046263344
